source_id,z,m1_Msun,m2_Msun,total_mass_Msun,chirp_mass_Msun,q,DL_Mpc,t_c_yr,f_gw_start_hz,f_gw_isco_hz,Lambda,Beta,iota,psi_rad,var_phi,phi_c,eccentricity,engine,score_proxy,signal_rss,signal_max,catalog_kind,population_model,population_weight,observer_rate_weight_proxy,original_row_number,original_m1_Msun,original_m2_Msun,spin1,spin2,spin_angle_alpha,spin_angle_beta,spin_angle_gamma,spin_plane_psi,final_spin,final_mass_Msun,kick_velocity_km_s,escape_velocity_halo_km_s,escape_velocity_baryon_km_s,cluster_mass_Msun,disk_stars_mass_Msun,disk_gas_mass_Msun,bulge_stars_mass_Msun,bulge_gas_mass_Msun,nuclear_star_cluster_mass_Msun,reservoir_mass_Msun,final_halo_mass_Msun
popIII_K16_0011,2.86173,15249.2,4982.91,20232.11,7365.967979723268,0.32676533850956113,24421.68369942316,0.012933818738841559,0.0019555600945046123,0.05627953775608762,3.5912490167953663,0.9260292068612574,1.0343258936306916,0.10753823672094955,4.035178721626725,3.6820022849624103,0.0,bhb_EccFD,16.972978581557225,,,K16_popIII_weighted_sample,popIII,0.000124521,294.8235660983268,70,15249.2,4982.91,0.997892,0.998,0.108224,0.14128,0.0653424,5.45625,0.992752,18835.4,288657.0,176290.0,55650.3,38899300000.0,348.26,3620900.0,29736600.0,45120800.0,141911.0,190249.0,100000000000.0
popIII_K16_0012,0.607533,170730.0,18351.9,189081.9,43879.789257217664,0.10749077490774908,3680.2665698485835,0.13787149048701874,0.0004564128285585536,0.014466509301259263,1.455000670127231,0.12734096162415257,1.381602720102436,0.5340290151694765,1.303112900165176,0.9338234197373301,0.0,bhb_EccFD,193.96945045606356,,,K16_popIII_weighted_sample,popIII,0.000124521,287.30222173838024,101,170730.0,18351.9,0.998,0.998,0.312401,0.140618,0.172016,3.0643,0.998,184260.0,115816.0,219228.0,60513.8,85336200000.0,35238200.0,1477340000.0,75526500.0,11.3665,447129.0,0.00324033,100000000000.0
popIII_K16_0013,2.06863,30172.9,1867.8,32040.7,5616.012368009185,0.06190323104507687,16502.38611690196,0.02935903204069192,0.001966935073154919,0.044722604049068825,5.485906449224275,-0.9845599526330023,2.736498383028639,1.9876140066454318,4.410476359925667,5.425807743560592,0.0,bhb_EccFD,10.937907394513825,,,K16_popIII_weighted_sample,popIII,0.000124521,373.2036959068409,105,30172.9,1867.8,0.997943,0.998,0.0103051,0.0756101,0.0848814,6.22696,0.998,31585.1,51902.6,183278.0,47718.5,39018900000.0,361.589,1745780.0,23959100.0,7254140.0,262832.0,63529.2,100000000000.0
popIII_K16_0014,2.21158,20497.0,899.085,21396.085,3113.3487283344216,0.04386422403278529,17897.173826222683,0.07459848471962886,0.0019484340692532713,0.0639912429798362,4.1055604305316376,-0.12848801503969895,1.376080175802662,2.4399014102297114,5.005880800346722,0.13220076137077255,0.0,bhb_EccFD,4.04498463762157,,,K16_popIII_weighted_sample,popIII,0.000124521,359.0530348713663,125,20497.0,899.085,0.998,0.995167,0.163147,0.149861,0.0217201,4.10986,0.998,21188.5,28887.8,143902.0,39515.3,10267800000.0,125.413,136170.0,14964200.0,0.0,195906.0,50526.7,100000000000.0
popIII_K16_0015,1.22872,327988.0,8619.98,336607.98,36761.53574673955,0.02628138834347598,8718.101484790663,1.1031983099823974,0.00019055713729876635,0.005861296448248782,0.835080752303308,-0.25674532905278363,2.1084779645672183,0.3807017018083847,5.674910700387165,3.535720073927334,0.0,bhb_EccFD,58.70523359703558,,,K16_popIII_weighted_sample,popIII,1.58724e-05,53.23018805483024,241,327988.0,8619.98,0.998,0.998,2.34068,1.24242,2.70002,3.12718,0.973517,335828.0,22279.8,306151.0,122750.0,117482000000.0,1282430000.0,3282570000.0,111610000.0,19.9924,7243120.0,0.023689,1000000000000.0
popIII_K16_0016,1.23423,43018.4,36799.8,79818.20000000001,34616.20396724702,0.8554432521897607,8766.242239789042,0.015430984398642161,0.0009795437793670618,0.02465720220441076,3.891578134574995,-0.028315533997555913,1.0326444938714219,2.632344358169251,5.362393948504948,0.5146878653968584,0.0,bhb_EccFD,157.96030614249804,,,K16_popIII_weighted_sample,popIII,1.58724e-05,53.25635964489176,305,43018.4,36799.8,0.998,0.998,0.88489,2.19168,2.8737,5.05522,0.501102,77265.8,1795480.0,241880.0,95488.6,43978400000.0,347073000.0,1034490000.0,84117000.0,19.3396,2402830.0,0.00666495,1000000000000.0
popIII_K16_0017,3.24506,15844.4,1785.73,17630.13,4185.659082701506,0.11270417308323447,28382.497515807518,0.03400406158903796,0.0018263002847137366,0.05875356962136947,1.0462562221062917,0.21410492295181774,1.2174653705614746,1.4090524171953809,5.9142494752470265,0.2705679768345923,0.0,bhb_EccFD,6.369084225056347,,,K16_popIII_weighted_sample,popIII,1.58724e-05,33.257527870460194,409,15844.4,1785.73,0.998,0.998,0.226912,0.12943,0.0988739,3.36411,0.998,17156.6,130290.0,193881.0,42016.7,30216100000.0,4811980.0,42360400.0,10192500.0,26930300.0,148643.0,47849.6,1000000000000.0
popIII_K16_0018,4.89834,111839.0,259.525,112098.525,2935.915185901807,0.0023205232521750015,46141.650402169325,0.5913835567959382,0.0006359591987250652,0.006650340838866312,5.409083478050057,1.3116757196348012,0.33528742824535357,0.8566635286184633,1.290929497421711,6.07904752448456,0.0,bhb_EccFD,1.8577269952160536,,,K16_popIII_weighted_sample,popIII,1.58724e-05,20.057648068044006,572,111839.0,259.525,0.997731,0.923513,0.143302,0.151927,0.0708851,5.06989,0.998,112035.0,108.625,309893.0,115459.0,75770400000.0,132636000.0,1780570000.0,265512000.0,9.71291,2969820.0,433503.0,1000000000000.0
popIII_K16_0019,2.66898,73872.0,864.76,74736.76,5111.147530059495,0.011706194498592159,22459.62947704668,0.07630684480426793,0.0013040669136027993,0.016035924196544427,1.4568199991861062,0.045164458037979374,2.090887291729654,1.594546228334849,0.4640272472546001,1.211461235752349,0.0,bhb_EccFD,7.034559901122483,,,K16_popIII_weighted_sample,popIII,1.58724e-05,39.92883257188564,579,73872.0,864.76,0.998,0.998,0.0699097,0.12488,0.173612,0.343305,0.998,74536.6,2570.78,205752.0,72185.4,22282000000.0,555.41,2422940.0,69639900.0,0.0,402254.0,387749.0,1000000000000.0
popIII_K16_0020,3.87001,32831.6,309.315,33140.915,1995.0000852519634,0.009421258787265928,34981.92916581647,0.09719838089990915,0.0017963188174424931,0.02724452606470131,4.404965502049744,1.0506847205919314,1.614268292870787,0.4514916016332002,0.8118518825736979,4.069344586303732,0.0,bhb_EccFD,1.8686722779950964,,,K16_popIII_weighted_sample,popIII,1.58724e-05,27.2952236210266,681,32831.6,309.315,0.997271,0.767195,0.259314,0.157597,0.102108,3.02963,0.998,33070.9,1667.54,215850.0,61152.5,37004000000.0,11755100.0,173912000.0,82296000.0,7.86424,268599.0,170650.0,1000000000000.0
